station,lon,lat,nb_depart,nb_arrivee,nb_total,arrondissement
10e avenue / Masson,-73.57373356819151,45.55037651450808,17915,17675,35590,Rosemont - La Petite-Patrie
11e avenue / du Souvenir,-73.70472729206085,45.56933906192115,146,154,300,Laval
12e avenue / St-Zotique,-73.589306473732,45.5568667309625,5715,5523,11238,Rosemont - La Petite-Patrie
14e avenue / Jean-Talon,-73.59629362821578,45.56132407262574,804,812,1616,Villeray—Saint-Michel—Parc-Extension
15e Rue / Robin,-73.69852066040038,45.55937286274167,304,325,629,Laval
15e avenue / Dandurand,-73.57425928115845,45.554786595434784,3811,3693,7504,Rosemont - La Petite-Patrie
15e avenue / Laurier,-73.56932803988457,45.55331992800521,8538,7988,16526,Rosemont - La Petite-Patrie
16e avenue / Jean-Talon,-73.5953414440155,45.56239073042133,1661,1641,3302,Villeray—Saint-Michel—Parc-Extension
16e avenue / Jean-talon,-73.5953414440155,45.56239073042133,6,3,9,Villeray—Saint-Michel—Parc-Extension
16e avenue / St-Joseph,-73.56577143073082,45.55293611277267,7234,6683,13917,Rosemont - La Petite-Patrie
19e avenue / St-Zotique,-73.58564794063568,45.56168275734862,6986,6848,13834,Rosemont - La Petite-Patrie
1ere avenue / Jean-Talon,-73.60114574432373,45.55490679722509,5174,5228,10402,Villeray—Saint-Michel—Parc-Extension
1ère  avenue / St-Zotique,-73.59392791986465,45.551937362101,4985,4973,9958,Rosemont - La Petite-Patrie
1ère avenue / Jean-Talon,-73.60114574432373,45.55490679722509,289,283,572,Villeray—Saint-Michel—Parc-Extension
1ère avenue / Rosemont,-73.58486741781235,45.54779995287998,11345,11264,22609,Rosemont - La Petite-Patrie
1ère avenue / St-Zotique,-73.59392791986465,45.551937362101,324,323,647,Rosemont - La Petite-Patrie
20e avenue / de Bellechasse,-73.5767751932144,45.55992951142522,5466,5337,10803,Rosemont - La Petite-Patrie
22e avenue / Everett,-73.59426856040955,45.56703834271867,161,167,328,Villeray—Saint-Michel—Parc-Extension
22e avenue / Everett),-73.59426856040955,45.56703834271867,4,7,11,Villeray—Saint-Michel—Parc-Extension
26e avenue / Beaubien,-73.5774926841259,45.56485589064712,5218,4984,10202,Rosemont - La Petite-Patrie
26e avenue / Bélanger,-73.58511686325073,45.56725240529474,2470,2421,4891,Rosemont - La Petite-Patrie
27e avenue / Rosemont,-73.57139468193054,45.563709940264175,3731,3527,7258,Rosemont - La Petite-Patrie
29e avenue / St-Zotique,-73.57968807220459,45.56776565172907,4350,4233,8583,Rosemont - La Petite-Patrie
2e avenue / Centrale,-73.59685689210892,45.43289463113104,1886,1966,3852,LaSalle
35e avenue / Beaubien,-73.573047,45.570081,1432,1375,2807,Rosemont - La Petite-Patrie
35e avenue/  Beaubien,-73.57307481772295,45.569996465032766,1434,1359,2793,Rosemont - La Petite-Patrie
35e avenue/Beaubien,-73.57307481772295,45.569996465032766,1309,1286,2595,Rosemont - La Petite-Patrie
3e avenue / Wellington,-73.56723271765077,45.457304311219616,799,844,1643,Verdun
41e avenue / Rosemont,-73.56431499123573,45.57178977666956,3292,3272,6564,Rosemont - La Petite-Patrie
4e avenue / de Verdun,-73.57212341392369,45.45686162938348,6307,6689,12996,Verdun
5e avenue / Bannantyne,-73.57604078018994,45.45649192816104,4820,5337,10157,Verdun
5e avenue / Masson,-73.57513636350632,45.54752382909683,15157,14913,30070,Rosemont - La Petite-Patrie
5e avenue / Rosemont,-73.58308374881744,45.54990048023633,6093,5731,11824,Rosemont - La Petite-Patrie
6e Avenue / Bélanger,-73.59631910920143,45.55458281524975,4882,4768,9650,Rosemont - La Petite-Patrie
6e avenue / Villeray,-73.60589044634253,45.55873962047568,2745,2812,5557,Villeray—Saint-Michel—Parc-Extension
6e avenue / Wellington,-73.56789708137512,45.45542715196195,3975,4065,8040,Verdun
7e avenue / Masson,-73.57469648122787,45.54863154452348,1485,1500,2985,Rosemont - La Petite-Patrie
7e avenue / St-Joseph Rosemont,-73.56936693191528,45.54710817336986,7831,7074,14905,Rosemont - La Petite-Patrie
8e avenue / Beaubien,-73.58768105506897,45.553150698635406,6315,6175,12490,Rosemont - La Petite-Patrie
8e avenue / Dandurand,-73.5772217810154,45.550113551561694,6946,6775,13721,Rosemont - La Petite-Patrie
8e avenue / Notre-Dame Lachine,-73.67079868912697,45.43498715540587,1075,1161,2236,Lachine
90e Avenue / Boulevard Lévesque O,-73.74735295772552,45.53121456506295,434,499,933,Laval
9e avenue / Masson,-73.57327222824097,45.54948994879926,1211,1234,2445,Rosemont - La Petite-Patrie
Adam / d'Orleans,-73.53858858346939,45.54733170390415,3162,3724,6886,Mercier - Hochelaga-Maisonneuve
Alexandre-DeSève / Ontario,-73.56055689979257,45.52437454361268,16037,18761,34798,Ville-Marie
Alexandre-DeSève / Ste-Catherine,-73.55378866195679,45.52118763358253,7517,8868,16385,Ville-Marie
Alfred Laliberté / de Poutrincourt,-73.6945965886116,45.53308032414161,561,622,1183,Ahuntsic-Cartierville
Alma / de Bellechasse,-73.60352754592896,45.531034186281765,8371,7266,15637,Rosemont - La Petite-Patrie
Alton-Goldbloom / Notre-Dame,-73.73787671327591,45.54502601340392,661,682,1343,Laval
André-Laurendeau / Rachel,-73.56256484985352,45.54303187243879,17220,16399,33619,Rosemont - La Petite-Patrie
Ann / Wellington,-73.55676591396332,45.494520387544334,5835,6879,12714,Le Sud-Ouest
Argyle / Bannantyne,-73.5767751932144,45.453318765468914,4710,5216,9926,Verdun
Argyle / de Verdun,-73.57191503047943,45.45301583620112,6488,6896,13384,Verdun
Aréna Chaumont (Chaumont / des Ormeaux),-73.54673445224762,45.610926628992026,1581,1576,3157,Anjou
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),-73.50041270256041,45.65140583915357,498,522,1020,Rivière-des-Prairies - Pointe-aux-Trembles
Atateken / du Square Amherst,-73.56395011160203,45.52058271176779,12603,15535,28138,Ville-Marie
Ateliers municipaux de St-Laurent (Cavendish / Poirier),-73.71118605136871,45.506175841460966,657,746,1403,Saint-Laurent
Atwater / Greene,-73.57782661914825,45.48049514330605,4954,8092,13046,Le Sud-Ouest
Atwater / Sherbrooke,-73.58763009309769,45.4912258547597,5918,4354,10272,Ville-Marie
Augustin-Cantin / Shearer,-73.56363236904144,45.48390169543355,8865,10729,19594,Le Sud-Ouest
Aylmer / Prince-Arthur,-73.57769787311554,45.50856686947439,20457,20487,40944,Le Plateau-Mont-Royal
Aylmer / Sherbrooke,-73.57282698154448,45.50629456823703,14470,10508,24978,Le Plateau-Mont-Royal
Aylmer / Ste-Catherine,-73.56894850730896,45.50434678685089,8743,8996,17739,Ville-Marie
Aylwin / Ontario,-73.54523241519928,45.544290485374304,21687,26683,48370,Mercier - Hochelaga-Maisonneuve
BAnQ (Berri),-73.56291957199574,45.51601387670667,15524,21111,36635,Ville-Marie
BIXI K5,-73.60139787197113,45.53029763358792,1354,1382,2736,Rosemont - La Petite-Patrie
Ball / Bloomfield,-73.63287091255188,45.529996997063385,5698,5759,11457,Villeray—Saint-Michel—Parc-Extension
Basile-Routhier / Chabanel,-73.64767402410507,45.549846830745,5528,5888,11416,Ahuntsic-Cartierville
Bassin olympique (Chemin du Chenal le Moyne),-73.52724552154541,45.5169025120042,2866,3055,5921,Ville-Marie
Beatty / de Verdun,-73.5725748538971,45.450729976972944,7283,7908,15191,Verdun
Beaubien / 8e avenue,-73.58763143420218,45.55331997202561,1253,1265,2518,Rosemont - La Petite-Patrie
Beaudry / Sherbrooke,-73.56539458036421,45.52303493310712,12393,9780,22173,Ville-Marie
Beauregard / La Salle,-73.4860880487031,45.511126706889264,1044,1091,2135,Longueuil
Bel Air / St-Antoine,-73.58367975812143,45.4824297233159,3441,4080,7521,Le Sud-Ouest
Bennett / Ste-Catherine,-73.53263273835182,45.55315915057821,8271,9758,18029,Mercier - Hochelaga-Maisonneuve
Benny / Sherbrooke,-73.62659722566605,45.4648769981855,6925,6927,13852,Côte-des-Neiges - Notre-Dame-de-Grâce
Bercy / Rachel,-73.56196403503418,45.53840340979245,8538,8069,16607,Le Plateau-Mont-Royal
Berlioz / de l'Île des Soeurs,-73.54395568370819,45.45998577640931,3808,4255,8063,Verdun
Bernard / Jeanne-Mance,-73.6049484461546,45.52428310031213,20076,18868,38944,Le Plateau-Mont-Royal
Berri / Cherrier,-73.5692971944809,45.519266156911335,31473,19731,51204,Le Plateau-Mont-Royal
Berri / Gilford,-73.58606100082396,45.52677632748293,18992,15422,34414,Le Plateau-Mont-Royal
Berri / Laurier,-73.58843871625139,45.52809995527671,19148,15538,34686,Le Plateau-Mont-Royal
Berri / Rachel,-73.57724860310555,45.52275023118295,30695,29418,60113,Le Plateau-Mont-Royal
Berri / de Maisonneuve,-73.56135049208204,45.51531350570208,739,760,1499,Ville-Marie
Beurling / Godin,-73.58381867408752,45.44791581215845,3558,4088,7646,Verdun
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),-73.5579303,45.6027276,930,1001,1931,Anjou
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),-73.66225451231003,45.5534000891078,3864,4088,7952,Ahuntsic-Cartierville
Bibliothèque de Verdun (Brown / Bannantyne),-73.57767310000781,45.44878841549165,4165,4563,8728,Verdun
Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),-73.67612421512604,45.512843286755896,2640,2697,5337,Saint-Laurent
Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),-73.58207792043686,45.55151193681962,8788,8559,17347,Rosemont - La Petite-Patrie
Bishop / René-Lévesque,-73.57401251792908,45.49536795507059,13319,10642,23961,Ville-Marie
Bishop / Ste-Catherine,-73.57650284979172,45.496597761984034,10391,9948,20339,Ville-Marie
Bloomfied / Elmwood,-73.60320568084717,45.51825588419192,5184,4829,10013,Outremont
Bloomfield / Bernard,-73.60775470733641,45.52033819370831,16144,14914,31058,Outremont
Bloomfield / Van Horne,-73.61328139901161,45.522745298216094,10190,9590,19780,Outremont
Boileau / Monsabré,-73.54176163673401,45.57175879648152,2930,3245,6175,Mercier - Hochelaga-Maisonneuve
Bourbonnière / Ontario,-73.54309067130089,45.54795814818623,4525,4665,9190,Mercier - Hochelaga-Maisonneuve
Bourbonnière / du Mont-Royal,-73.56052905321121,45.55358456339093,9462,8390,17852,Rosemont - La Petite-Patrie
Bourgeoys / Favard,-73.55592101812363,45.47993042065731,9974,11344,21318,Le Sud-Ouest
Bourget / St-Jacques,-73.58351558446884,45.48067368593179,5529,6265,11794,Le Sud-Ouest
Boyer / Beaubien,-73.602026,45.537041,25734,22438,48172,Rosemont - La Petite-Patrie
Boyer / Bélanger,-73.60897,45.54006,13675,12351,26026,Rosemont - La Petite-Patrie
Boyer / Everett,-73.61607524188003,45.54310243053054,9125,8690,17815,Villeray—Saint-Michel—Parc-Extension
Boyer / Jean-Talon,-73.61250426627521,45.541569834507,8824,8260,17084,Rosemont - La Petite-Patrie
Boyer / Rosemont,-73.59553456306458,45.53409866804061,18966,15539,34505,Rosemont - La Petite-Patrie
Boyer / St-Joseph,-73.58450902629556,45.52949317285589,5066,4334,9400,Le Plateau-Mont-Royal
Boyer / St-Zotique,-73.60580742359161,45.53866220045916,20626,19361,39987,Rosemont - La Petite-Patrie
Boyer / du Mont-Royal,-73.57991673052311,45.527432126380575,33789,30061,63850,Le Plateau-Mont-Royal
Brittany / Ainsley,-73.65003436803818,45.52588991809354,2538,2820,5358,Mont-Royal
Brébeuf / Curé-Poirier,-73.48339325750203,45.52688330834135,852,887,1739,Longueuil
Bélanger / St-Denis,-73.61199,45.53696,18019,17020,35039,Rosemont - La Petite-Patrie
Bélanger / des Galeries d'Anjou,-73.56279015541077,45.59722114932571,2360,2587,4947,Anjou
CCI Outremont (Dollard / Ducharme),-73.61890733242035,45.52001910239164,2999,2998,5997,Outremont
CHSLD Joseph-François-Perrault (St-Michel / Everett),-73.60145956277847,45.55969734528566,1203,1145,2348,Villeray—Saint-Michel—Parc-Extension
CHSLD Robert Cliche (de Bellechasse / 16e avenue),-73.579191,45.557568,6598,6689,13287,Rosemont - La Petite-Patrie
CHSLD St-Michel (8e avenue / Jarry),-73.610512,45.5616903,1967,2028,3995,Villeray—Saint-Michel—Parc-Extension
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),-73.62283945083618,45.50398168549117,9768,8368,18136,Côte-des-Neiges - Notre-Dame-de-Grâce
Calixa-Lavallée / Rachel,-73.5719096660614,45.52782485042695,17441,15364,32805,Le Plateau-Mont-Royal
Calixa-Lavallée / Rachel 2,-73.57180299864922,45.52771409041715,7651,5070,12721,Le Plateau-Mont-Royal
Calixa-Lavallée / Sherbrooke,-73.56545,45.52479,18309,14651,32960,Le Plateau-Mont-Royal
Calixa-Lavallée/Rachel,-73.57197269797325,45.52787013859106,754,711,1465,Le Plateau-Mont-Royal
