station,lon,lat,arrondissement,nb_depart,nb_arrivee,nb_total
12e avenue / St-Zotique,-73.589306473732,45.5568667309625,Rosemont - La Petite-Patrie,8,5,13
15e avenue / Dandurand,-73.57425928115845,45.554786595434784,Inconnu,0,3,3
15e avenue / Laurier,-73.56932803988457,45.55331992800521,Rosemont - La Petite-Patrie,1693,1584,3277
16e avenue / St-Joseph,-73.56577143073082,45.55293611277267,Inconnu,0,2,2
1ère avenue / Rosemont,-73.58486741781235,45.54779995287998,Rosemont - La Petite-Patrie,51,49,100
1ère avenue / St-Zotique,-73.59366238117218,45.551916701344936,Rosemont - La Petite-Patrie,948,811,1759
20e avenue / de Bellechasse,-73.5767751932144,45.55992951142522,Rosemont - La Petite-Patrie,617,467,1084
3e avenue / Bannantyne,-73.5763943195343,45.4577225021236,Verdun,136,107,243
3e avenue / Wellington,-73.56723271765077,45.457304311219616,Verdun,573,635,1208
5e avenue / Rosemont,-73.58308374881744,45.54990048023633,Rosemont - La Petite-Patrie,14,11,25
6e Avenue / Bélanger,-73.59631910920143,45.55458281524975,Rosemont - La Petite-Patrie,530,559,1089
6e avenue / Villeray,-73.60589044634253,45.55873962047568,Villeray—Saint-Michel—Parc-Extension,15,12,27
8e avenue / Dandurand,-73.5772217810154,45.550113551561694,Rosemont - La Petite-Patrie,15,23,38
9599 (test cyclochrome),-73.6020040512085,45.52992183768114,Rosemont - La Petite-Patrie,2,2,4
9e avenue / Masson,-73.57327222824097,45.54948994879926,Rosemont - La Petite-Patrie,1883,1885,3768
Alexandre-DeSève / Ontario,-73.56054916977882,45.524378086614014,Ville-Marie,23,36,59
Alexandre-de-Sève / Ste-Catherine,-73.55293308672117,45.52171703048863,Ville-Marie,18,29,47
Alma / de Bellechasse,-73.60352754592896,45.531034186281765,Rosemont - La Petite-Patrie,60,52,112
Argyle / Bannantyne,-73.5767751932144,45.453318765468914,Verdun,216,171,387
Atateken / du Square Amherst,-73.5639146839003,45.52066599241888,Ville-Marie,1273,1582,2855
Atwater / Greene,-73.57782661914825,45.48049514330605,Le Sud-Ouest,384,561,945
Atwater / Sherbrooke,-73.58763009309769,45.4912258547597,Ville-Marie,390,263,653
Aylmer / Prince-Arthur,-73.57769787311554,45.50856686947439,Le Plateau-Mont-Royal,117,121,238
Aylmer / Sherbrooke,-73.57282698154448,45.50629456823703,Le Plateau-Mont-Royal,99,88,187
Aylmer / Ste-Catherine,-73.56901906885469,45.50437634533078,Ville-Marie,42,26,68
Aylwin / Ontario,-73.54523241519928,45.544290485374304,Mercier - Hochelaga-Maisonneuve,2066,2679,4745
BAnQ (Berri),-73.56291957199574,45.51601387670667,Ville-Marie,911,1779,2690
BIXI K5,-73.60139787197113,45.53029763358792,Rosemont - La Petite-Patrie,598,610,1208
Ball / Bloomfield,-73.63287091255188,45.529996997063385,Villeray—Saint-Michel—Parc-Extension,31,37,68
Beaubien / 8e avenue,-73.58763143420218,45.55331997202561,Rosemont - La Petite-Patrie,588,495,1083
Beaudry / Sherbrooke,-73.56539458036421,45.52303493310712,Ville-Marie,95,82,177
Bennett / Ste-Catherine,-73.53263273835182,45.55315915057821,Mercier - Hochelaga-Maisonneuve,1348,1572,2920
Bercy / Rachel,-73.56196403503418,45.53840340979245,Le Plateau-Mont-Royal,73,55,128
