STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS,STARTTIMEDATE,month,travel_distance
Duluth  / St-Denis,Le Plateau-Mont-Royal,45.52062760607925,-73.57594907283782,,,,,1733363535714,,2024-12-05 01:52:15.714,12,
du Parc-Lafontaine / Rachel,Le Plateau-Mont-Royal,45.52551168509886,-73.57424452900887,,,,,1733336323635,,2024-12-04 18:18:43.635,12,
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.53244901681983,-73.5847695171833,,,,,1733342732633,,2024-12-04 20:05:32.633,12,
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.53244901681983,-73.5847695171833,,,,,1733338688553,,2024-12-04 18:58:08.553,12,
Fullum / Marie-Anne,Le Plateau-Mont-Royal,45.53650541861215,-73.56803923845291,,,,,1733342717796,,2024-12-04 20:05:17.796,12,
Ste-Catherine / Union,Ville-Marie,45.50370387789841,-73.56941521167755,,,,,1733334811243,,2024-12-04 17:53:31.243,12,
de Maisonneuve / de Bleury,Ville-Marie,45.50710068509571,-73.56907725334167,,,,,1733335948202,,2024-12-04 18:12:28.202,12,
McGill / Place d'Youville,Ville-Marie,45.500014581102505,-73.55625258141116,,,,,1733336083105,,2024-12-04 18:14:43.105,12,
Calixa-Lavallée / Rachel 2,Le Plateau-Mont-Royal,45.52783105277898,-73.57195928692818,,,,,1733334303089,,2024-12-04 17:45:03.089,12,
Complexe Desjardins (St-Urbain / René-Lévesque),Ville-Marie,45.50788520688478,-73.56315059590997,,,,,1733337137839,,2024-12-04 18:32:17.839,12,
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,45.50094101588506,-73.62563699483871,,,,,1733365029296,,2024-12-05 02:17:09.296,12,
Cathcart / McGill College,Ville-Marie,45.501187681489775,-73.57045487814501,,,,,1733334146603,,2024-12-04 17:42:26.603,12,
de Maisonneuve / Mansfield (sud),Ville-Marie,45.502053864057466,-73.57346534729004,,,,,1733341446288,,2024-12-04 19:44:06.288,12,
Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,45.51074821798916,-73.56512099504471,,,,,1733335976009,,2024-12-04 18:12:56.009,12,
Berri / Rachel,Le Plateau-Mont-Royal,45.52275023118295,-73.57724860310555,,,,,1733343044255,,2024-12-04 20:10:44.255,12,
Garnier / du Mont-Royal,Le Plateau-Mont-Royal,45.53075597398246,-73.5761762317452,,,,,1733334172836,,2024-12-04 17:42:52.836,12,
Ste-Catherine / Drummond,Ville-Marie,45.498488900657,-73.57436656951904,,,,,1733333979760,,2024-12-04 17:39:39.760,12,
St-Viateur / Casgrain,Le Plateau-Mont-Royal,45.52707134397896,-73.5979351401329,,,,,1733341548407,,2024-12-04 19:45:48.407,12,
Métro Peel (de Maisonneuve / Stanley),Ville-Marie,45.50038,-73.57507,,,,,1733335415408,,2024-12-04 18:03:35.408,12,
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.55236601831166,,,,,1733334455426,,2024-12-04 17:47:35.426,12,
Molson / William-Tremblay,Rosemont - La Petite-Patrie,45.541602844435374,-73.56496073305605,,,,,1733345000022,,2024-12-04 20:43:20.022,12,
Métro Préfontaine (Moreau / Hochelaga),Mercier - Hochelaga-Maisonneuve,45.54131350328532,-73.5537427291274,,,,,1733333800917,,2024-12-04 17:36:40.917,12,
Métro Papineau (Dorion / De Maisonneuve),Ville-Marie,45.5238445756922,-73.55236601831166,,,,,1733339500985,,2024-12-04 19:11:40.985,12,
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Ville-Marie,45.51586835126322,-73.56008380651474,,,,,1733332826969,,2024-12-04 17:20:26.969,12,
Ste-Catherine / Towers,Ville-Marie,45.49228068089086,-73.58096480369566,,,,,1733351195620,,2024-12-04 22:26:35.620,12,
Duluth  / St-Denis,Le Plateau-Mont-Royal,45.52062760607925,-73.57594907283782,,,,,1733343334369,,2024-12-04 20:15:34.369,12,
Dorion / Ontario,Ville-Marie,45.526991277453526,-73.55821162462234,,,,,1733358094065,,2024-12-05 00:21:34.065,12,
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.51989655507833,-73.58010649681091,,,,,1733338288562,,2024-12-04 18:51:28.562,12,
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),Côte-des-Neiges - Notre-Dame-de-Grâce,45.50398168549117,-73.62283945083618,,,,,1733368240014,,2024-12-05 03:10:40.014,12,
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.51814312154928,-73.56800436973572,,,,,1733343388259,,2024-12-04 20:16:28.259,12,
du Mont-Royal / Clark,Le Plateau-Mont-Royal,45.51941,-73.58685,,,,,1733334828142,,2024-12-04 17:53:48.142,12,
Ste-Catherine / Union,Ville-Marie,45.50370387789841,-73.56941521167755,,,,,1733339990726,,2024-12-04 19:19:50.726,12,
Calixa-Lavallée / Rachel 2,Le Plateau-Mont-Royal,45.52783105277898,-73.57195928692818,,,,,1733337934550,,2024-12-04 18:45:34.550,12,
