x_variable,y_variable,R,p_value,n_obs,spearman_r,spearman_p
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.71733078634063e-53,24674,0.0986,2.3329480724177634e-54
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.717330786355748e-53,24674,0.0986,2.3329473616778828e-54
distance_c,nb_trajets,-0.3196,5.6644509896632047e-05,153,-0.3538,7.240537926504169e-06
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.717330786355748e-53,24674,0.0986,2.3329473616778828e-54
distance_c,nb_trajets,-0.3196,5.6644509896632047e-05,153,-0.3538,7.240537926504169e-06
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.717330786355748e-53,24674,0.0986,2.3329473616778828e-54
distance_c,nb_trajets,-0.3196,5.6644509896632047e-05,153,-0.3538,7.240537926504169e-06
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.717330786355748e-53,24674,0.0986,2.3329473616778828e-54
distance_c,nb_trajets,-0.3196,5.6644509896632047e-05,153,-0.3538,7.240537926504169e-06
aire_parc,nb_trajets,0.0342,7.458446456923531e-08,24674,0.1065,3.908308170560865e-63
nombre_uni,nb_trajets,0.0617,3.039634044853387e-22,24674,0.0528,1.101697117066033e-16
walkscore_,nb_trajets,0.2363,0.0032729352901715685,153,0.4375,1.5596553425395686e-08
bikescore_,nb_trajets,0.381,1.1822475112479998e-06,153,0.452,4.475786010381376e-09
longueur_m,nb_trajets,0.0298,0.22946976993912335,1630,0.0689,0.005356154824517626
densite_es,nb_trajets,0.0976,2.717330786355748e-53,24674,0.0986,2.3329473616778828e-54
distance_c,nb_trajets,-0.3196,5.6644509896632047e-05,153,-0.3538,7.240537926504169e-06
